"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.6","...","1011.8","2019-01-01 09:54","1007.1","2019-01-01 14:25","15.3","16.6","2019-01-01 12:53","14.7","2019-01-01 21:04","...","86","76","2019-01-01 14:04","4.2","68","14.4","30","2019-01-01 11:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1008.3","...","1010.7","2019-01-02 09:10","1005.1","2019-01-02 14:25","16.0","17.2","2019-01-02 13:30","14.7","2019-01-02 03:15","...","88","79","2019-01-02 13:09","3.7","64","19.2","49","2019-01-02 12:06","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1008.0","...","1010.6","2019-01-03 09:19","1005.2","2019-01-03 23:58","17.4","19.1","2019-01-03 23:58","15.5","2019-01-03 03:23","...","89","82","2019-01-03 13:54","3.2","69","13.6","91","2019-01-03 09:51","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.2","...","1006.5","2019-01-04 08:57","1003.4","2019-01-04 15:09","19.1","24.0","2019-01-04 10:01","16.7","2019-01-04 18:38","...","89","68","2019-01-04 10:52","1.7","308","11.2","85","2019-01-04 00:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1004.2","...","1005.9","2019-01-05 00:08","1002.6","2019-01-05 15:13","17.6","19.8","2019-01-05 13:25","16.7","2019-01-05 03:21","...","94","83","2019-01-05 12:15","1.1","8","5.6","357","2019-01-05 16:51","7.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1005.5","...","1008.1","2019-01-06 09:42","1003.9","2019-01-06 16:45","16.3","17.9","2019-01-06 14:39","14.4","2019-01-06 03:44","...","90","81","2019-01-06 15:34","2.8","62","12.1","83","2019-01-06 20:06","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1003.4","...","1004.8","2019-01-07 00:02","1001.5","2019-01-07 14:55","19.6","23.3","2019-01-07 14:39","16.7","2019-01-07 01:57","...","82","68","2019-01-07 14:06","2.4","81","11.6","91","2019-01-07 07:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1005.2","...","1007.1","2019-01-08 22:44","1003.3","2019-01-08 14:49","18.1","19.8","2019-01-08 14:54","17.1","2019-01-08 08:32","...","89","76","2019-01-08 15:12","2.6","39","12.2","55","2019-01-08 20:54","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1005.5","...","1008.0","2019-01-09 08:15","1002.8","2019-01-09 16:00","17.9","19.8","2019-01-09 13:49","15.8","2019-01-09 06:38","...","81","73","2019-01-09 11:46","4.0","70","14.0","94","2019-01-09 08:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1003.1","...","1005.2","2019-01-10 08:55","1001.7","2019-01-10 14:12","19.7","22.7","2019-01-10 10:52","18.8","2019-01-10 16:36","...","88","75","2019-01-10 10:53","1.1","6","6.1","91","2019-01-10 00:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1001.8","...","1003.4","2019-01-11 08:56","999.9","2019-01-11 14:36","18.9","21.9","2019-01-11 11:01","17.4","2019-01-11 18:54","...","96","84","2019-01-11 11:02","0.8","53","5.0","353","2019-01-11 13:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1002.6","...","1004.2","2019-01-12 20:45","1000.7","2019-01-12 03:14","17.4","19.1","2019-01-12 11:47","16.6","2019-01-12 18:30","...","91","83","2019-01-12 19:38","1.7","31","8.5","81","2019-01-12 22:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
