"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.3","...","1002.8","2019-12-01 23:46","999.1","2019-12-01 13:45","20.0","25.8","2019-12-01 11:25","17.8","2019-12-01 06:42","...","79","50","2019-12-01 11:30","1.1","39","7.4","6","2019-12-01 14:11","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1006.2","...","1009.1","2019-12-02 19:39","1002.6","2019-12-02 00:08","14.7","18.3","2019-12-03 00:00","13.5","2019-12-02 17:28","...","72","54","2019-12-02 22:39","2.8","50","11.7","41","2019-12-02 18:21","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1006.5","...","1007.6","2019-12-03 07:31","1004.6","2019-12-03 15:34","15.3","17.0","2019-12-03 13:45","13.5","2019-12-03 01:18","...","59","51","2019-12-03 09:47","3.6","74","15.6","57","2019-12-03 15:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1007.4","...","1009.4","2019-12-04 20:35","1005.6","2019-12-04 13:56","15.7","17.2","2019-12-04 10:10","13.3","2019-12-04 23:57","...","62","53","2019-12-04 10:55","3.6","75","14.5","43","2019-12-04 11:04","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1008.0","...","1010.0","2019-12-05 21:18","1006.0","2019-12-05 13:37","13.5","14.0","2019-12-05 23:58","12.9","2019-12-05 03:48","...","92","88","2019-12-06 00:00","2.2","69","11.8","57","2019-12-05 19:24","54.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1007.3","...","1009.3","2019-12-06 21:27","1005.5","2019-12-06 15:12","13.7","14.7","2019-12-06 13:57","12.4","2019-12-06 23:54","...","91","86","2019-12-06 18:43","2.7","59","11.1","38","2019-12-06 21:59","44.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1008.5","...","1009.9","2019-12-07 09:39","1006.9","2019-12-07 14:28","12.9","14.1","2019-12-07 16:52","11.2","2019-12-07 01:33","...","79","55","2019-12-07 21:03","2.4","78","11.3","62","2019-12-07 01:11","12.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1007.6","...","1009.7","2019-12-08 08:39","1005.5","2019-12-08 15:41","15.1","18.1","2019-12-08 12:39","11.8","2019-12-08 05:40","...","57","38","2019-12-08 13:47","2.5","88","11.6","91","2019-12-08 11:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1003.4","...","1006.6","2019-12-10 00:00","1001.2","2019-12-09 14:08","17.4","20.1","2019-12-09 13:56","14.5","2019-12-09 01:27","...","64","56","2019-12-09 13:57","2.6","60","11.3","98","2019-12-09 09:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1000.7","...","1002.6","2019-12-10 08:58","998.5","2019-12-10 15:15","18.6","22.1","2019-12-10 11:43","14.7","2019-12-10 06:59","...","70","47","2019-12-10 13:31","0.8","4","6.8","293","2019-12-10 13:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1001.6","...","1004.1","2019-12-11 23:38","999.2","2019-12-11 13:57","18.6","21.5","2019-12-11 13:13","17.4","2019-12-11 07:20","...","74","52","2019-12-11 14:51","2.4","71","12.2","53","2019-12-11 13:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1004.7","...","1006.3","2019-12-12 08:56","1001.9","2019-12-12 15:19","17.6","20.3","2019-12-12 12:27","15.6","2019-12-12 06:56","...","62","50","2019-12-12 11:23","3.6","84","13.9","53","2019-12-12 13:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1005.5","...","1007.3","2019-12-13 10:08","1003.7","2019-12-13 02:13","18.6","22.4","2019-12-13 11:19","16.0","2019-12-13 05:56","...","76","61","2019-12-13 11:09","2.1","63","12.4","90","2019-12-13 01:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1004.7","...","1007.3","2019-12-14 09:37","1003.0","2019-12-14 16:35","19.3","22.0","2019-12-14 13:28","18.0","2019-12-14 05:49","...","77","67","2019-12-14 13:28","3.0","75","12.3","93","2019-12-14 20:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1003.0","...","1005.4","2019-12-15 09:14","1001.6","2019-12-15 15:52","20.9","27.0","2019-12-15 14:21","18.4","2019-12-15 01:18","...","70","45","2019-12-15 14:21","2.4","96","10.9","96","2019-12-15 00:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1001.4","...","1003.6","2019-12-16 09:09","999.0","2019-12-16 16:57","20.1","25.4","2019-12-16 13:16","16.9","2019-12-16 06:46","...","75","51","2019-12-16 13:17","0.6","4","5.0","14","2019-12-16 14:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1001.4","...","1004.0","2019-12-17 08:59","999.6","2019-12-17 15:35","21.9","26.8","2019-12-17 11:17","17.5","2019-12-17 07:01","...","69","49","2019-12-17 11:17","0.8","130","6.0","284","2019-12-17 14:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1002.7","...","1004.5","2019-12-18 09:31","1000.8","2019-12-18 14:43","19.6","21.9","2019-12-18 00:03","17.7","2019-12-18 23:13","...","85","75","2019-12-18 15:26","2.3","37","11.7","46","2019-12-18 14:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1003.6","...","1005.7","2019-12-19 21:42","1002.0","2019-12-19 12:39","17.4","19.6","2019-12-19 12:09","15.3","2019-12-19 20:50","...","90","81","2019-12-19 12:09","2.3","32","9.1","28","2019-12-19 18:57","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1003.4","...","1005.4","2019-12-20 02:35","1000.0","2019-12-20 15:37","17.2","19.5","2019-12-20 12:16","15.3","2019-12-20 02:53","...","86","74","2019-12-20 12:16","2.8","55","12.4","71","2019-12-20 10:22","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1000.6","...","1003.1","2019-12-22 00:00","999.2","2019-12-21 14:15","17.8","19.2","2019-12-21 10:45","16.9","2019-12-21 01:55","...","96","94","2019-12-21 00:58","1.0","29","6.4","48","2019-12-21 02:41","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","999.0","...","999.9","2019-12-22 22:11","997.5","2019-12-22 13:19","17.7","21.2","2019-12-22 09:29","16.0","2019-12-22 21:45","...","91","78","2019-12-22 09:26","1.4","10","7.6","38","2019-12-22 19:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1000.4","...","1002.1","2019-12-23 09:31","999.1","2019-12-23 01:40","17.9","19.9","2019-12-23 12:47","16.5","2019-12-23 04:36","...","83","74","2019-12-23 11:38","1.4","49","6.6","58","2019-12-23 01:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1001.8","...","1003.7","2019-12-24 09:36","1000.4","2019-12-24 03:59","17.8","19.1","2019-12-24 11:15","16.6","2019-12-24 02:42","...","90","86","2019-12-24 08:44","1.2","26","6.6","45","2019-12-24 16:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","999.4","...","1002.0","2019-12-25 08:52","997.1","2019-12-25 16:04","19.1","23.5","2019-12-25 13:28","16.1","2019-12-25 04:59","...","84","66","2019-12-25 13:28","1.1","62","6.4","93","2019-12-25 09:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1000.5","...","1004.5","2019-12-26 23:52","998.0","2019-12-26 00:51","18.6","22.8","2019-12-26 11:20","14.9","2019-12-26 23:59","...","84","59","2019-12-26 14:06","1.4","5","11.2","36","2019-12-26 19:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
