"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.9","1008.0","1006.2","2021-06-01 21:33","1003.6","2021-06-01 02:13","28.8","31.7","2021-06-01 09:49","25.1","2021-06-01 05:49","24.5","78","66","2021-06-01 10:43","2.4","90","13.7","220","2021-06-01 12:29","9.5","1.5","2.5","2021-06-01 05:01","8.5","2021-06-01 04:47","4.2","31.3","17.25","32.5","...","9","2021-06-01 12:00","8.3"
"02","1005.8","1008.8","1007.3","2021-06-02 21:44","1003.9","2021-06-02 16:00","29.8","32.7","2021-06-02 11:06","27.7","2021-06-02 03:56","24.7","74","59","2021-06-02 11:26","3.0","220","11.3","200","2021-06-02 13:48","0.0","0.0","0.0","...","0.0","...","11.5","85.7","27.26","36.9","...","14","2021-06-02 13:00","4.4"
"03","1004.3","1007.3","1006.5","2021-06-03 00:01","1002.0","2021-06-03 16:20","30.2","33.0","2021-06-03 13:08","27.7","2021-06-03 05:36","25.4","75","66","2021-06-03 22:46","3.2","190","11.1","180","2021-06-03 19:13","0.0","0.0","0.0","...","0.0","...","10.6","78.9","25.04","50.0","...","14","2021-06-03 13:00","5.8"
"04","1001.7","1004.7","1003.7","2021-06-04 06:46","998.7","2021-06-04 15:47","30.3","33.6","2021-06-04 12:36","28.4","2021-06-04 23:54","25.2","75","57","2021-06-04 12:38","4.3","140","11.7","190","2021-06-04 13:59","0.0","0.0","0.0","...","0.0","...","8.5","63.2","22.73","28.1","...","13","2021-06-04 13:00","7.0"
"05","1002.1","1005.2","1004.2","2021-06-05 08:41","1000.5","2021-06-05 03:19","26.9","29.2","2021-06-05 14:00","24.9","2021-06-05 08:33","24.7","88","76","2021-06-05 01:33","3.1","170","12.5","230","2021-06-05 15:33","112.5","12.0","18.0","2021-06-05 15:33","34.0","2021-06-05 15:12","0.1","0.7","5.54","22.0","...","7","2021-06-05 14:00","9.3"
"06","1003.5","1006.6","1006.1","2021-06-06 19:37","1000.8","2021-06-06 01:56","25.1","26.3","2021-06-06 00:06","24.1","2021-06-06 17:02","24.2","95","83","2021-06-06 23:21","3.9","140","13.7","190","2021-06-06 00:46","156.0","19.2","16.5","2021-06-06 04:16","39.5","2021-06-06 04:02","0.0","0.0","2.62","9.0","...","2","2021-06-06 12:00","9.8"
"07","1006.9","1010.0","1008.7","2021-06-07 09:19","1005.0","2021-06-07 01:27","27.2","30.0","2021-06-07 15:17","24.6","2021-06-07 09:23","22.9","78","63","2021-06-07 15:25","2.2","120","14.1","190","2021-06-07 09:17","4.0","0.7","3.5","2021-06-07 09:14","4.0","2021-06-07 09:14","0.8","5.9","11.61","35.0","...","6","2021-06-07 14:00","8.6"
"08","1007.3","1010.4","1008.6","2021-06-08 09:19","1005.1","2021-06-08 15:44","28.4","32.2","2021-06-08 12:12","25.9","2021-06-08 05:34","24.1","78","63","2021-06-08 12:32","2.2","20","9.5","170","2021-06-08 16:15","T","0.7","T","2021-06-08 19:19","T","2021-06-08 19:19","9.0","66.8","25.44","30.0","...","13","2021-06-08 13:00","7.5"
"09","1005.9","1009.0","1007.6","2021-06-09 00:01","1004.0","2021-06-09 15:34","29.3","33.6","2021-06-09 12:04","26.3","2021-06-09 05:07","23.9","74","54","2021-06-09 10:25","2.0","10","9.3","290","2021-06-09 14:54","17.0","0.7","10.0","2021-06-09 18:29","17.0","2021-06-09 18:25","10.6","78.7","25.71","57.5","...","11","2021-06-09 13:00","6.5"
"10","1004.5","1007.6","1006.5","2021-06-10 00:01","1002.7","2021-06-10 16:34","29.3","33.1","2021-06-10 11:44","26.7","2021-06-10 04:59","24.2","75","57","2021-06-10 14:20","1.9","70","8.0","250","2021-06-10 14:12","1.0","0.6","0.5","2021-06-10 18:26","1.0","2021-06-10 18:20","8.2","60.8","23.11","50.0","...","12","2021-06-10 12:00","5.8"
"11","1005.4","1008.4","1008.4","2021-06-11 22:20","1003.6","2021-06-11 05:18","29.9","33.4","2021-06-11 13:30","26.9","2021-06-11 05:59","24.4","73","54","2021-06-11 12:06","2.0","310","8.8","330","2021-06-11 14:08","T","0.2","T","2021-06-11 17:04","T","2021-06-11 17:04","10.1","74.9","26.28","35.0","...","13","2021-06-11 13:00","4.5"
"12","1007.8","1010.9","1009.8","2021-06-12 22:25","1006.4","2021-06-12 15:52","30.0","33.2","2021-06-12 12:55","27.0","2021-06-12 04:56","24.7","74","59","2021-06-12 11:38","2.3","50","11.5","200","2021-06-12 15:14","0.0","0.0","0.0","...","0.0","...","9.7","71.9","26.02","26.6","...","12","2021-06-12 13:00","6.9"
"13","1007.5","1010.5","1009.6","2021-06-13 00:01","1004.8","2021-06-13 16:11","29.8","33.3","2021-06-13 13:02","27.6","2021-06-13 04:12","24.6","74","57","2021-06-13 12:47","2.3","80","8.4","250","2021-06-13 17:12","T","0.1","T","2021-06-13 20:11","T","2021-06-13 20:11","10.8","80.0","27.15","47.5","...","13","2021-06-13 12:00","6.3"
"14","1004.8","1007.9","1007.3","2021-06-14 00:01","1003.0","2021-06-14 17:27","30.0","33.4","2021-06-14 12:38","27.3","2021-06-14 06:08","24.4","72","56","2021-06-14 13:23","2.4","260","8.9","240","2021-06-14 14:49","0.0","0.0","0.0","...","0.0","...","11.0","81.5","25.86","60.6","...","14","2021-06-14 13:00","4.3"
"15","1003.2","1006.2","1004.2","2021-06-15 07:42","1002.1","2021-06-15 16:16","29.7","32.2","2021-06-15 13:13","27.8","2021-06-15 07:55","25.3","78","63","2021-06-15 11:18","2.5","180","8.5","200","2021-06-15 12:07","0.5","0.1","0.5","2021-06-15 07:36","0.5","2021-06-15 07:36","7.0","51.9","19.95","54.4","...","12","2021-06-15 14:00","5.4"
"16","1005.2","1008.3","1007.2","2021-06-16 22:40","1002.5","2021-06-16 02:35","29.2","31.6","2021-06-16 15:15","27.5","2021-06-16 11:31","25.4","80","67","2021-06-16 17:22","2.4","260","7.8","280","2021-06-16 08:54","7.0","1.1","4.5","2021-06-16 08:01","6.5","2021-06-16 08:01","1.5","11.1","9.50","22.8","...","6","2021-06-16 13:00","6.8"
"17","1006.4","1009.5","1007.3","2021-06-17 21:49","1005.7","2021-06-17 03:31","29.1","31.5","2021-06-17 15:02","26.6","2021-06-17 04:37","25.3","80","71","2021-06-17 08:57","2.2","240","8.0","190","2021-06-17 15:06","3.5","1.3","2.5","2021-06-17 10:55","3.0","2021-06-17 10:55","4.7","34.8","16.17","23.1","...","10","2021-06-17 13:00","6.4"
"18","1005.1","1008.2","1006.6","2021-06-18 08:43","1003.3","2021-06-18 15:57","29.5","32.5","2021-06-18 12:11","27.1","2021-06-18 04:38","25.5","79","65","2021-06-18 11:33","1.9","90","7.4","210","2021-06-18 12:21","2.0","0.7","1.0","2021-06-18 04:17","1.0","2021-06-18 04:17","7.4","54.8","20.68","25.6","...","11","2021-06-18 12:00","6.0"
"19","1003.1","1006.1","1004.7","2021-06-19 00:01","1001.6","2021-06-19 16:07","29.2","31.8","2021-06-19 14:25","26.4","2021-06-19 04:54","26.1","83","71","2021-06-19 14:25","2.5","250","11.0","270","2021-06-19 13:56","20.0","2.4","6.0","2021-06-19 03:30","13.0","2021-06-19 02:55","2.4","17.8","14.94","24.4","...","12","2021-06-19 13:00","7.8"
"20","1001.4","1004.4","1002.7","2021-06-20 10:04","1000.2","2021-06-20 17:38","28.2","29.5","2021-06-20 09:49","26.1","2021-06-20 06:00","26.2","89","80","2021-06-20 17:57","2.4","120","7.4","160","2021-06-20 05:02","36.5","2.9","6.0","2021-06-20 04:37","23.5","2021-06-20 04:30","0.8","5.9","7.14","21.3","...","4","2021-06-20 14:00","9.0"
"21","1001.7","1004.8","1003.3","2021-06-21 21:32","999.8","2021-06-21 02:50","27.6","30.4","2021-06-21 12:45","26.1","2021-06-21 13:41","25.9","90","78","2021-06-21 12:42","2.5","110","10.4","240","2021-06-21 02:24","48.5","4.3","7.0","2021-06-21 13:30","22.0","2021-06-21 13:14","0.2","1.5","6.62","14.1","...","7","2021-06-21 13:00","9.6"
"22","1003.6","1006.7","1004.8","2021-06-22 13:26","1000.6","2021-06-22 01:48","26.1","28.5","2021-06-22 12:09","24.7","2021-06-22 14:07","24.6","91","79","2021-06-22 12:07","2.6","130","8.3","250","2021-06-22 13:17","51.5","11.5","10.5","2021-06-22 02:01","27.5","2021-06-22 13:15","0.0","0.0","6.20","19.1","...","5","2021-06-22 12:00","9.1"
"23","1004.8","1007.9","1006.8","2021-06-23 11:24","1002.6","2021-06-23 03:57","26.3","28.0","2021-06-23 16:53","24.5","2021-06-23 12:03","23.7","86","78","2021-06-23 15:44","2.6","120","12.1","150","2021-06-23 23:39","23.0","5.7","11.0","2021-06-23 10:01","17.0","2021-06-23 10:00","0.2","1.5","7.09","36.9","...","4","2021-06-23 15:00","9.4"
"24","1004.9","1008.0","1006.8","2021-06-24 22:57","1003.5","2021-06-24 05:24","26.7","30.6","2021-06-24 12:12","24.2","2021-06-24 04:34","24.1","86","65","2021-06-24 12:35","3.2","170","11.7","220","2021-06-24 13:58","38.0","6.5","6.0","2021-06-24 00:51","14.5","2021-06-24 00:51","4.1","30.4","19.71","27.1","...","12","2021-06-24 12:00","9.1"
"25","1004.9","1008.0","1006.7","2021-06-25 22:24","1003.3","2021-06-25 16:20","26.5","29.9","2021-06-25 12:56","24.1","2021-06-25 01:13","23.9","86","73","2021-06-25 08:06","3.1","120","11.7","180","2021-06-25 17:24","23.5","7.7","2.5","2021-06-25 00:40","6.0","2021-06-25 00:33","1.3","9.6","13.35","33.1","...","9","2021-06-25 13:00","8.4"
"26","1006.4","1009.5","1007.9","2021-06-26 21:58","1005.0","2021-06-26 04:51","27.3","32.1","2021-06-26 14:06","24.7","2021-06-26 01:53","24.1","84","58","2021-06-26 14:07","2.1","180","8.9","220","2021-06-26 16:27","14.0","3.6","2.5","2021-06-26 02:24","7.5","2021-06-26 01:45","2.9","21.5","18.27","26.3","...","11","2021-06-26 12:00","8.6"
"27","1005.6","1008.7","1007.6","2021-06-27 00:01","1004.0","2021-06-27 14:12","26.8","32.1","2021-06-27 12:50","25.5","2021-06-27 01:54","24.7","89","63","2021-06-27 12:50","2.5","120","13.2","230","2021-06-27 13:27","18.5","5.6","5.5","2021-06-27 15:08","14.0","2021-06-27 15:08","1.9","14.1","14.59","16.5","...","12","2021-06-27 13:00","9.1"
"28","1004.6","1007.7","1005.7","2021-06-28 10:09","1003.6","2021-06-28 14:47","26.0","29.0","2021-06-28 14:11","24.8","2021-06-28 02:03","24.8","93","76","2021-06-28 14:10","2.9","120","9.6","130","2021-06-28 12:54","129.0","10.8","9.5","2021-06-28 05:06","21.5","2021-06-28 16:06","1.6","11.9","11.10","14.9","...","12","2021-06-28 14:00","9.5"
"29","1005.2","1008.3","1006.4","2021-06-29 14:58","1004.3","2021-06-29 04:42","26.4","30.4","2021-06-29 12:19","24.8","2021-06-29 15:03","24.7","90","74","2021-06-29 12:22","2.6","80","14.0","220","2021-06-29 13:34","77.5","4.0","17.5","2021-06-29 05:25","39.5","2021-06-29 05:02","1.0","7.4","9.78","25.6","...","9","2021-06-29 11:00","7.6"
"30","1005.8","1008.8","1007.0","2021-06-30 10:44","1004.5","2021-06-30 02:38","28.8","31.8","2021-06-30 13:12","25.8","2021-06-30 05:38","25.1","81","66","2021-06-30 13:51","2.6","190","9.6","180","2021-06-30 09:58","0.0","0.0","0.0","...","0.0","...","9.6","71.2","25.22","43.1","...","14","2021-06-30 12:00","3.4"
