"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","995.6","...","997.4","2021-05-01 23:56","993.6","2021-05-01 02:51","24.5","29.0","2021-05-01 11:14","21.5","2021-05-01 02:23","...","66","44","2021-05-01 09:06","1.2","126","7.5","260","2021-05-01 13:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","998.0","...","999.7","2021-05-02 09:30","996.4","2021-05-02 03:21","24.6","28.7","2021-05-02 11:54","21.2","2021-05-02 05:10","...","74","51","2021-05-02 12:09","1.7","87","10.7","87","2021-05-02 22:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","997.2","...","998.8","2021-05-03 09:56","996.1","2021-05-03 23:36","25.2","28.7","2021-05-03 11:50","23.1","2021-05-03 23:45","...","72","51","2021-05-03 11:20","1.0","19","8.9","96","2021-05-03 01:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","995.1","...","996.8","2021-05-04 07:40","993.0","2021-05-04 16:08","26.0","30.1","2021-05-04 12:24","22.6","2021-05-04 05:31","...","73","53","2021-05-04 11:41","1.0","2","6.8","251","2021-05-04 12:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","998.3","...","1000.5","2021-05-05 21:32","994.9","2021-05-05 02:29","21.8","26.0","2021-05-05 01:59","18.7","2021-05-05 20:41","...","80","69","2021-05-05 17:18","2.4","38","13.0","93","2021-05-05 17:29","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","998.8","...","1000.3","2021-05-06 08:00","997.3","2021-05-06 16:36","22.7","26.7","2021-05-06 10:20","19.2","2021-05-06 00:08","...","81","65","2021-05-06 10:20","1.4","127","7.1","3","2021-05-06 14:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","996.0","...","998.0","2021-05-07 09:57","993.7","2021-05-07 17:07","26.3","29.7","2021-05-07 15:33","22.8","2021-05-08 00:00","...","72","58","2021-05-07 17:46","1.5","267","11.7","263","2021-05-07 10:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","993.9","...","995.1","2021-05-08 18:18","992.6","2021-05-08 15:10","24.7","26.9","2021-05-08 10:17","22.8","2021-05-08 18:21","...","85","77","2021-05-08 08:15","1.4","265","8.3","323","2021-05-08 13:53","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","993.3","...","995.2","2021-05-09 10:09","991.7","2021-05-09 16:36","25.6","28.7","2021-05-09 12:14","23.2","2021-05-09 05:47","...","78","67","2021-05-09 12:15","1.0","5","6.7","304","2021-05-09 13:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
