"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.0","...","1007.9","2021-12-01 08:00","1003.7","2021-12-01 14:40","14.6","16.4","2021-12-01 12:23","13.5","2021-12-01 06:24","...","57","50","2021-12-01 12:20","2.9","67","13.0","62","2021-12-01 03:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1004.3","...","1005.6","2021-12-02 09:04","1002.2","2021-12-02 14:42","15.3","17.8","2021-12-02 11:58","13.5","2021-12-02 05:55","...","68","60","2021-12-02 11:54","1.9","59","10.9","38","2021-12-02 14:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1005.3","...","1007.4","2021-12-03 21:39","1003.1","2021-12-03 13:20","14.9","18.4","2021-12-03 12:12","12.3","2021-12-03 06:35","...","59","41","2021-12-03 12:32","2.3","76","11.2","49","2021-12-03 13:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.9","...","1007.7","2021-12-04 08:42","1003.8","2021-12-04 14:34","16.2","19.2","2021-12-04 13:08","13.0","2021-12-04 05:40","...","57","39","2021-12-04 12:24","3.4","70","12.9","96","2021-12-04 12:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1003.8","...","1005.7","2021-12-05 08:53","1001.9","2021-12-05 14:55","17.9","21.7","2021-12-05 14:04","16.1","2021-12-05 08:06","...","76","59","2021-12-05 14:03","2.3","73","10.1","60","2021-12-05 11:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1002.8","...","1004.3","2021-12-06 22:42","1001.3","2021-12-06 14:46","18.4","21.4","2021-12-06 13:00","16.6","2021-12-06 07:36","...","82","65","2021-12-06 14:25","2.5","86","11.0","97","2021-12-06 20:11","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1005.6","...","1007.0","2021-12-07 21:05","1003.9","2021-12-07 00:05","17.4","19.4","2021-12-07 13:58","16.0","2021-12-07 06:30","...","73","57","2021-12-07 14:34","2.9","74","11.9","88","2021-12-07 15:24","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1005.8","...","1007.6","2021-12-08 08:49","1003.8","2021-12-08 14:15","18.8","22.0","2021-12-08 13:17","16.1","2021-12-08 06:21","...","61","42","2021-12-08 14:09","3.2","70","13.9","93","2021-12-08 11:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1004.3","...","1005.4","2021-12-09 09:29","1002.9","2021-12-09 14:14","20.4","23.0","2021-12-09 11:55","18.5","2021-12-09 03:57","...","70","61","2021-12-09 15:47","2.7","73","10.7","92","2021-12-09 21:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1003.2","...","1005.2","2021-12-10 08:51","1001.2","2021-12-10 14:38","20.8","23.0","2021-12-10 14:24","19.6","2021-12-10 23:56","...","69","57","2021-12-10 14:25","3.5","75","13.8","71","2021-12-10 13:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1003.8","...","1005.4","2021-12-11 08:22","1002.1","2021-12-11 14:57","19.7","22.0","2021-12-11 13:33","18.2","2021-12-11 05:28","...","85","74","2021-12-11 10:51","2.0","11","10.0","27","2021-12-11 12:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1005.3","...","1007.2","2021-12-12 21:51","1003.2","2021-12-12 02:35","17.7","19.2","2021-12-12 10:19","16.5","2021-12-12 21:59","...","87","78","2021-12-12 18:40","2.4","37","12.2","36","2021-12-12 12:38","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1005.1","...","1007.7","2021-12-13 08:07","1003.0","2021-12-13 23:57","16.7","19.2","2021-12-13 13:23","15.9","2021-12-13 08:57","...","82","71","2021-12-13 13:27","3.0","70","12.5","85","2021-12-13 19:05","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1001.2","...","1003.4","2021-12-14 08:41","999.2","2021-12-14 14:19","19.9","24.0","2021-12-14 15:08","16.7","2021-12-14 00:10","...","73","59","2021-12-14 15:11","2.6","87","10.9","94","2021-12-14 00:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","999.7","...","1002.0","2021-12-15 09:52","997.2","2021-12-15 15:28","21.0","25.7","2021-12-15 13:31","17.7","2021-12-15 06:48","...","74","57","2021-12-15 11:57","0.8","184","4.7","352","2021-12-15 15:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1000.0","...","1001.6","2021-12-16 23:56","997.9","2021-12-16 14:42","20.4","25.4","2021-12-16 10:16","18.2","2021-12-16 06:18","...","81","50","2021-12-16 10:14","1.0","7","7.2","316","2021-12-16 10:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1004.7","...","1009.8","2021-12-17 23:32","1001.4","2021-12-17 00:01","17.1","19.8","2021-12-17 00:57","13.7","2021-12-17 23:53","...","77","57","2021-12-17 16:50","2.9","55","12.4","37","2021-12-17 10:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1008.1","...","1009.6","2021-12-18 00:01","1006.6","2021-12-18 15:44","14.1","15.3","2021-12-18 11:09","13.3","2021-12-18 03:40","...","65","54","2021-12-18 02:05","2.9","72","12.4","56","2021-12-18 07:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1005.4","...","1008.5","2021-12-19 08:30","1003.0","2021-12-19 15:52","16.0","18.7","2021-12-19 13:48","13.8","2021-12-19 06:51","...","58","47","2021-12-19 13:37","3.8","68","15.4","86","2021-12-19 14:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1002.5","...","1004.0","2021-12-20 08:49","1000.8","2021-12-20 23:56","18.0","21.0","2021-12-20 12:10","15.8","2021-12-20 02:56","...","69","54","2021-12-20 12:11","1.0","85","7.7","104","2021-12-20 00:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","998.5","...","1000.9","2021-12-21 00:08","995.4","2021-12-21 14:47","17.0","18.3","2021-12-21 11:55","15.9","2021-12-21 23:00","...","91","74","2021-12-21 00:05","1.6","17","9.1","28","2021-12-21 18:22","35.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1000.1","...","1001.7","2021-12-22 20:13","998.1","2021-12-22 02:03","15.9","16.5","2021-12-22 19:07","15.4","2021-12-22 20:43","...","91","77","2021-12-22 19:03","2.2","49","9.0","42","2021-12-22 13:12","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","999.4","...","1001.4","2021-12-23 09:21","997.7","2021-12-23 14:55","18.5","20.8","2021-12-23 15:08","15.9","2021-12-23 00:07","...","90","80","2021-12-23 15:10","1.5","28","7.4","56","2021-12-23 01:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1000.4","...","1003.9","2021-12-24 23:53","997.8","2021-12-24 03:11","17.6","18.6","2021-12-24 00:31","15.5","2021-12-24 08:50","...","90","62","2021-12-25 00:00","1.6","314","11.1","113","2021-12-24 23:28","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1007.5","...","1011.0","2021-12-25 22:51","1003.3","2021-12-25 00:19","14.7","17.5","2021-12-26 00:00","12.3","2021-12-25 23:33","...","84","62","2021-12-26 00:00","2.8","57","10.4","55","2021-12-25 22:19","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1011.3","...","1013.2","2021-12-26 09:08","1009.7","2021-12-26 14:24","12.2","12.9","2021-12-26 11:53","11.4","2021-12-26 23:55","...","85","80","2021-12-26 08:31","2.9","56","10.9","51","2021-12-26 05:01","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
