"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","994.8","...","996.1","2020-06-01 23:38","992.5","2020-06-01 15:45","28.1","31.4","2020-06-01 12:38","26.0","2020-06-01 05:35","...","79","59","2020-06-01 12:43","1.4","269","11.0","233","2020-06-01 13:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","993.5","...","995.9","2020-06-02 00:11","991.5","2020-06-02 16:28","27.6","30.3","2020-06-02 12:38","23.5","2020-06-02 01:26","...","81","69","2020-06-02 16:24","1.3","269","9.8","255","2020-06-02 14:29","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","991.9","...","993.6","2020-06-03 08:32","989.2","2020-06-03 16:35","28.7","32.1","2020-06-03 16:09","25.9","2020-06-03 04:23","...","70","52","2020-06-03 15:54","1.9","263","12.5","257","2020-06-03 13:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","991.3","...","...","...","...","...","29.0","...","...","...","...","...","67","...","...","1.8","262","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","991.2","...","992.8","2020-06-05 08:53","988.8","2020-06-05 17:12","29.3","32.2","2020-06-05 10:39","26.6","2020-06-05 05:00","...","69","54","2020-06-05 11:15","1.8","264","13.1","259","2020-06-05 17:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","990.2","...","991.3","2020-06-06 22:49","988.8","2020-06-06 13:06","29.1","32.0","2020-06-06 10:02","26.4","2020-06-06 05:37","...","70","58","2020-06-06 10:03","2.0","266","15.0","261","2020-06-06 15:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","991.2","...","992.5","2020-06-07 22:00","990.1","2020-06-07 02:44","25.9","29.8","2020-06-07 06:47","23.2","2020-06-07 12:21","...","85","58","2020-06-07 06:47","1.4","116","14.0","259","2020-06-07 12:03","27.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","992.2","...","993.4","2020-06-08 10:55","990.5","2020-06-08 03:01","24.9","27.3","2020-06-08 09:53","23.6","2020-06-08 21:30","...","90","74","2020-06-08 09:41","1.2","128","9.0","251","2020-06-08 16:03","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","993.1","...","994.1","2020-06-09 22:01","991.7","2020-06-09 04:13","26.0","29.2","2020-06-09 10:50","23.9","2020-06-09 00:12","...","80","62","2020-06-09 10:54","1.1","121","7.2","259","2020-06-09 17:18","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","992.9","...","994.4","2020-06-10 09:20","991.4","2020-06-10 15:42","27.8","31.7","2020-06-10 12:02","24.2","2020-06-10 03:59","...","73","53","2020-06-10 09:07","1.3","131","8.7","254","2020-06-10 16:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","991.7","...","993.2","2020-06-11 08:30","990.0","2020-06-11 17:08","28.3","30.9","2020-06-11 11:15","26.7","2020-06-11 07:35","...","79","65","2020-06-11 11:00","0.9","22","7.7","257","2020-06-11 11:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","990.6","...","...","...","...","...","29.0","...","...","...","...","...","78","...","...","1.1","360","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","991.8","...","994.9","2020-06-13 22:05","989.2","2020-06-13 02:54","29.3","32.9","2020-06-13 11:29","27.0","2020-06-13 05:07","...","73","59","2020-06-13 10:20","1.0","334","7.8","316","2020-06-13 14:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","995.5","...","997.9","2020-06-14 21:52","993.1","2020-06-14 02:20","27.8","31.8","2020-06-14 11:59","24.7","2020-06-14 18:55","...","83","63","2020-06-14 11:43","1.3","123","7.3","319","2020-06-14 13:49","51.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","995.4","...","997.3","2020-06-16 00:00","993.5","2020-06-15 15:24","28.6","31.8","2020-06-15 15:00","25.1","2020-06-15 01:11","...","74","58","2020-06-15 15:34","1.7","262","12.1","250","2020-06-15 16:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","992.5","...","994.5","2020-06-16 00:01","990.8","2020-06-16 16:11","29.2","32.5","2020-06-16 13:24","26.7","2020-06-16 05:17","...","67","51","2020-06-16 16:30","1.8","264","12.8","258","2020-06-16 11:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
