Date,Supply Power,Load Power,Temperature,Holiday
20190426,34916.0,32664.0,27.17369166216134,0
20190427,29369.0,27376.0,25.386716539244325,2
20190428,28688.0,26948.0,26.078734819387577,2
20190429,35058.0,32847.0,27.504552706671024,0
20190430,35309.0,33099.0,27.75015464590334,0
20190501,29919.0,26826.0,22.702319750351588,0
20190502,31373.0,28690.0,21.23869081918882,0
20190503,31631.0,28315.0,22.688405654689287,0
20190504,28938.0,25819.0,23.748401720405546,2
20190505,27591.0,25336.0,24.73612204585721,2
20190506,31019.0,28615.0,21.61021067761888,0
20190507,31081.0,28472.0,20.300144714401654,0
20190508,31108.0,28968.0,22.303499534881883,0
20190509,31441.0,29229.0,22.878069068866406,0
20190510,32179.0,29571.0,23.92936300695465,0
20190511,29413.0,26576.0,25.245806594912647,2
20190512,29193.0,26484.0,27.040358236125748,2
20190513,34446.0,32135.0,28.147830186277147,0
20190514,35275.0,33144.0,27.7592108590681,0
20190515,35149.0,32896.0,27.87791840916007,0
20190516,35739.0,33307.0,28.575540787880183,0
20190517,34862.0,32316.0,27.16028681707175,0
20190518,32114.0,29523.0,28.29459258470947,2
20190519,31104.0,28977.0,29.27636685150261,2
20190520,35560.0,32213.0,25.23641742614535,0
20190521,33865.0,29978.0,24.199165463391385,0
20190522,34704.0,30150.0,24.596531427671597,0
20190523,35142.0,30430.0,24.50151971752263,0
20190524,35123.0,31548.0,27.04416740272258,0
20190525,31794.0,27810.0,27.615998258680822,2
20190526,31694.0,27905.0,27.961951601264605,2
20190527,35227.0,32521.0,27.391893737752486,0
20190528,35411.0,32242.0,25.601851152808173,0
20190529,36224.0,30319.0,24.34354675493899,0
20190530,36483.0,32116.0,26.69435956831897,0
20190531,37486.0,32971.0,28.300331021215467,0
20190601,32902.0,28860.0,27.699954396670236,2
20190602,32488.0,28856.0,29.479986108257943,2
20190603,37498.0,32958.0,28.653352020872095,0
20190604,36955.0,32409.0,27.232185030489156,0
20190605,37945.0,33916.0,28.807209936495248,0
20190606,38674.0,34889.0,29.83164885300117,0
20190607,34770.0,30068.0,30.038611954289628,2
20190608,32858.0,29548.0,29.740198355635027,2
20190609,33490.0,29408.0,30.03730358555022,2
20190610,37502.0,33355.0,27.677916499493598,0
20190611,36341.0,32126.0,25.407411434118732,0
20190612,36513.0,31095.0,25.00568085604477,0
20190613,35273.0,31680.0,25.910500304187,0
20190614,35772.0,30877.0,25.423530384956624,0
20190615,33122.0,27686.0,26.919947560187865,2
20190616,32635.0,27673.0,28.381081465753688,2
20190617,37468.0,33703.0,28.83198918152313,0
20190618,37996.0,34739.0,29.829744643601853,0
20190619,39258.0,35601.0,30.677237690314637,0
20190620,39662.0,35959.0,30.793890822451946,0
20190621,40008.0,35928.0,30.95589514657957,0
20190622,35113.0,30923.0,30.038426432354917,2
20190623,33049.0,28305.0,26.963535864277965,2
20190624,37104.0,31688.0,26.206427931164992,0
20190625,36804.0,33290.0,27.351908937214368,0
20190626,36928.0,32816.0,27.258794366372666,0
20190627,37640.0,33465.0,28.221585751193576,0
20190628,38530.0,34963.0,30.0010578872439,0
20190629,34155.0,30553.0,30.323674061093012,2
20190630,33522.0,30083.0,30.07565867424897,2
20190701,38849.0,35215.0,30.425279219194856,0
20190702,39935.0,35052.0,28.81068653683901,0
20190703,38706.0,33953.0,28.160456177913183,0
20190704,39052.0,34157.0,29.45933569192593,0
20190705,39567.0,33853.0,29.585858239957442,0
20190706,34449.0,30014.0,29.407839835963976,2
20190707,34278.0,29965.0,30.239101836271004,2
20190708,39621.0,35166.0,29.892460840713056,0
20190709,39052.0,34886.0,29.51431052758955,0
20190710,39164.0,35267.0,30.04400403044688,0
20190711,38719.0,34564.0,28.80248996405377,0
20190712,39970.0,35638.0,29.28466083581837,0
20190713,36491.0,31353.0,30.416650690977892,2
20190714,34198.0,30941.0,30.440506145665154,2
20190715,39898.0,36261.0,30.512872659978754,0
20190716,40150.0,36926.0,30.84654849106684,0
20190717,41153.0,37383.0,30.65125511438346,0
20190718,40002.0,35922.0,29.004194560775474,0
20190719,39994.0,35484.0,29.078435242777317,0
20190720,36836.0,30618.0,28.86450416406173,2
20190721,34994.0,29604.0,28.567224629184796,2
20190722,40246.0,34488.0,28.11744853603361,0
20190723,39770.0,35004.0,28.066039987056296,0
20190724,40609.0,35571.0,29.256032024550525,0
20190725,40591.0,35955.0,30.15950478084074,0
20190726,40420.0,36523.0,30.05270526813324,0
20190727,36553.0,31207.0,28.77494602256645,2
20190728,35368.0,29654.0,29.25532970607946,2
20190729,40478.0,35554.0,30.32435220281573,0
20190730,40714.0,36647.0,30.674164524008525,0
20190731,40536.0,36807.0,30.84969162903573,0
20190801,40524.0,36482.0,29.966291914707003,0
20190802,40810.0,35775.0,29.125174867355433,0
20190803,36920.0,31045.0,29.54228031852001,2
20190804,35151.0,31333.0,30.668207631546352,2
20190805,40649.0,36721.0,30.324238821776575,0
20190806,41157.0,36386.0,30.196903454184937,0
20190807,40786.0,36067.0,29.363641081338443,0
20190808,40648.0,36331.0,28.934772424613907,0
20190809,37717.0,30740.0,28.720242266839616,0
20190810,36049.0,31478.0,31.28695874551846,2
20190811,35251.0,31064.0,30.750654181279632,2
20190812,40272.0,34479.0,29.243658492058135,0
20190813,38658.0,33906.0,29.02743198806291,0
20190814,40164.0,36100.0,29.85960779776768,0
20190815,40630.0,34275.0,29.690712772813466,0
20190816,40427.0,34379.0,29.06608751859298,0
20190817,37079.0,30424.0,28.99816267218826,2
20190818,34759.0,28616.0,27.349751119163436,2
20190819,39330.0,32954.0,26.553158353499164,0
20190820,39597.0,33328.0,27.236065281175833,0
20190821,39972.0,33542.0,27.4323117050318,0
20190822,39807.0,34983.0,29.357990334986397,0
20190823,40025.0,35157.0,30.15781110444479,0
20190824,35969.0,28996.0,28.662368606912523,2
20190825,34452.0,28990.0,28.89609727210634,2
20190826,40403.0,35049.0,29.54469950749146,0
20190827,40285.0,35593.0,29.602612776002427,0
20190828,40601.0,36507.0,30.383213061426495,0
20190829,40424.0,36368.0,30.422957756941607,0
20190830,40228.0,34613.0,27.820255442920256,0
20190831,35403.0,30636.0,29.65248080507089,2
20190901,34611.0,29629.0,29.799572821824537,2
20190902,39989.0,35383.0,30.115756596259924,0
20190903,40050.0,35469.0,29.68743286811633,0
20190904,39136.0,33717.0,26.913600996882977,0
20190905,39153.0,33277.0,26.884721852443228,0
