Date,Operating Reserve,Temperature,Holiday
20190101,2557.0,17.744204236813193,2
20190102,1899.0,18.22305919864992,0
20190103,1891.0,19.386034407707992,0
20190104,1811.0,21.320127336691034,0
20190105,1903.0,21.141596132522782,2
20190106,2333.0,19.47684798111399,2
20190107,1800.0,20.93354447245892,0
20190108,1843.0,20.682184153856024,0
20190109,1954.0,20.18220925495308,0
20190110,1847.0,21.950014388482167,0
20190111,1884.0,22.05042511925009,0
20190112,2497.0,21.031916607598962,2
20190113,2398.0,19.836782440583825,2
20190114,1745.0,20.365431948350942,0
20190115,1844.0,20.666466390004135,0
20190116,1849.0,17.449163116335452,0
20190117,1933.0,16.377989928123647,0
20190118,1935.0,18.288926465100698,0
20190119,1954.0,19.18255835225243,0
20190120,2599.0,19.25056997655579,2
20190121,1915.0,16.008854931867095,0
20190122,1921.0,14.98461100302675,0
20190123,1938.0,16.370651630962744,0
20190124,1872.0,17.974540973779447,0
20190125,1906.0,18.48737071696476,0
20190126,2535.0,16.077030948784163,2
20190127,2092.0,16.2186621641268,2
20190128,1806.0,17.837977403263373,0
20190129,1832.0,19.574853654916062,0
20190130,1810.0,20.482713784557355,0
20190131,1890.0,21.119939794064578,0
20190201,2148.0,16.725466616488937,0
20190202,2241.0,19.5763136837126,2
20190203,2038.0,21.874521511866476,2
20190204,2563.0,19.890502794423668,2
20190205,2333.0,19.248741492523223,2
20190206,2322.0,21.045167258995065,2
20190207,2107.0,22.71365251359903,2
20190208,3115.0,18.631584733664454,2
20190209,3136.0,18.390905898225693,2
20190210,3023.0,18.5055324799572,2
20190211,2275.0,18.322587372643586,0
20190212,1860.0,20.76713133054224,0
20190213,1915.0,20.61857440203089,0
20190214,1943.0,20.578434799808655,0
20190215,1959.0,21.906860385484105,0
20190216,2426.0,19.891533095374445,2
20190217,2673.0,18.630987432754104,2
20190218,1762.0,21.08685506801486,0
20190219,1891.0,22.31113896656019,0
20190220,1838.0,23.39961134890078,0
20190221,1813.0,22.338139404422652,0
20190222,1870.0,19.267672202914234,0
20190223,1729.0,16.701320963581207,0
20190224,1770.0,16.925688202172456,2
20190225,1754.0,18.658109045795616,0
20190226,1818.0,19.425215018358237,0
20190227,1903.0,21.25200965046661,0
20190228,2430.0,20.74064392387395,2
20190301,2371.0,20.59969474399297,2
20190302,1833.0,22.22654404315921,2
20190303,2224.0,20.24549316958415,2
20190304,1895.0,19.802556122267053,0
20190305,1954.0,20.97650161777916,0
20190306,1922.0,19.453910171711932,0
20190307,1868.0,15.135882770537256,0
20190308,1816.0,16.095018196766304,0
20190309,2191.0,19.032005073063825,2
20190310,1823.0,18.637684465387306,2
20190311,1794.0,17.927220335460504,0
20190312,1879.0,20.732189551448165,0
20190313,1923.0,21.44549683321893,0
20190314,1780.0,21.070297047385598,0
20190315,1928.0,18.467703365216742,0
20190316,2518.0,20.390658361286132,2
20190317,2290.0,20.9784594850006,2
20190318,1755.0,21.88975200006018,0
20190319,1805.0,22.63110054059714,0
20190320,1844.0,24.716589623301893,0
20190321,1967.0,25.854120735909856,0
20190322,2341.0,22.497545548185272,0
20190323,2084.0,17.539380153362565,2
20190324,1859.0,17.669162488808023,2
20190325,1853.0,19.80390505546737,0
20190326,1887.0,21.257520949844103,0
20190327,1933.0,23.406125652397634,0
20190328,1892.0,25.562783030312815,0
20190329,2055.0,24.082311163939217,0
20190330,2155.0,22.417701129726737,2
20190331,2297.0,21.328960824979603,2
20190401,193.0,18.282422895625615,0
20190402,191.5,20.922612015021762,0
20190403,190.5,21.62162967160071,0
20190404,234.0,23.346866965347704,2
20190405,187.2,22.52655864265206,2
20190406,168.3,23.54504191253234,2
20190407,177.8,25.11248322082794,2
20190408,196.9,25.987582247530455,0
20190409,196.4,26.829138569370805,0
20190410,215.4,25.838493767814725,0
20190411,207.9,23.164051736639337,0
20190412,201.8,21.410094592114206,0
20190413,176.0,22.76999935718194,2
20190414,252.8,23.87592353413171,2
20190415,198.6,21.775581158593,0
20190416,187.7,20.69186955038149,0
20190417,205.0,23.313020050357547,0
20190418,200.3,25.32935180025447,0
20190419,192.0,24.301405918317585,0
20190420,187.7,25.417597410330092,2
20190421,229.8,25.267326891574697,2
20190422,199.3,26.924834342851263,0
20190423,202.6,28.217052666370765,0
20190424,200.3,28.10305112275115,0
20190425,229.0,28.447581985754884,0
20190426,225.2,27.172814037874158,0
20190427,199.3,25.38130812312235,2
20190428,174.0,26.079788252918995,2
20190429,221.1,27.50676696585535,0
20190430,221.0,27.75361715432459,0
20190501,3093.0,22.70119503607457,0
20190502,2683.0,21.237001029304004,0
20190503,3316.0,22.688940367340855,0
20190504,3119.0,23.747511465372565,2
20190505,2255.0,24.738904351792613,2
20190506,2404.0,21.61049110871313,0
20190507,2609.0,20.298855098840768,0
20190508,2140.0,22.304024463049675,0
20190509,2212.0,22.87498118488065,0
20190510,2608.0,23.924671295812946,0
20190511,2837.0,25.241664371543212,2
20190512,2709.0,27.04034444160854,2
20190513,2311.0,28.15127420177869,0
20190514,2131.0,27.760651645030123,0
20190515,2253.0,27.876701374560295,0
20190516,2432.0,28.580315479933404,0
20190517,2546.0,27.16028981981094,0
20190518,2591.0,28.299317083798094,2
20190519,2127.0,29.28293210416246,2
20190520,3347.0,25.23691480850352,0
20190521,3887.0,24.199250202585546,0
20190522,4554.0,24.59633821232849,0
20190523,4712.0,24.502066075946836,0
20190524,3575.0,27.047017981718888,0
20190525,3984.0,27.61961784680661,2
20190526,3789.0,27.966448493851605,2
20190527,2706.0,27.394428009056703,0
20190528,3169.0,25.60046824188283,0
20190529,5905.0,24.342074129827107,0
20190530,4367.0,26.69493421451395,0
20190531,4515.0,28.301501545913204,0
20190601,4042.0,27.699203376562387,2
20190602,3632.0,29.48351823679717,2
20190603,4540.0,28.654389520707884,0
20190604,4546.0,27.23611166514158,0
20190605,4029.0,28.810720737267662,0
20190606,3785.0,29.83470282937193,0
20190607,4702.0,30.041471318173958,2
20190608,3310.0,29.744432697163642,2
20190609,4082.0,30.040195724948003,2
20190610,4147.0,27.67791010492246,0
20190611,4215.0,25.407567785041643,0
