Date,Operating Reserve,Temperature,Holiday
20190101,2557.0,17.747866247454706,2
20190102,1899.0,18.225509850047303,0
20190103,1891.0,19.387218966931005,0
20190104,1811.0,21.31421306043767,0
20190105,1903.0,21.142747401926577,2
20190106,2333.0,19.478936558036924,2
20190107,1800.0,20.932827735229502,0
20190108,1843.0,20.681866221250868,0
20190109,1954.0,20.185657527213056,0
20190110,1847.0,21.94363491478438,0
20190111,1884.0,22.046490681940046,0
20190112,2497.0,21.033828054372467,2
20190113,2398.0,19.838407916624334,2
20190114,1745.0,20.365411607904562,0
20190115,1844.0,20.661809358923115,0
20190116,1849.0,17.44930344142911,0
20190117,1933.0,16.376822909520868,0
20190118,1935.0,18.28697978275041,0
20190119,1954.0,19.180439447010034,0
20190120,2599.0,19.25080534157815,2
20190121,1915.0,16.009014262303875,0
20190122,1921.0,14.983198284686896,0
20190123,1938.0,16.368899789850165,0
20190124,1872.0,17.972365766515402,0
20190125,1906.0,18.482815214244802,0
20190126,2535.0,16.076621597301898,2
20190127,2092.0,16.218975892222133,2
20190128,1806.0,17.834779908776035,0
20190129,1832.0,19.57033231781102,0
20190130,1810.0,20.47922480025136,0
20190131,1890.0,21.12248851666255,0
20190201,2148.0,16.72793867387322,0
20190202,2241.0,19.569797376353115,2
20190203,2038.0,21.871365453552585,2
20190204,2563.0,19.893503327022163,2
20190205,2333.0,19.2476894704328,2
20190206,2322.0,21.043050655726315,2
20190207,2107.0,22.71368688243302,2
20190208,3115.0,18.634244979678428,2
20190209,3136.0,18.394375445125334,2
20190210,3023.0,18.50802677315313,2
20190211,2275.0,18.324665777466628,0
20190212,1860.0,20.764058538137334,0
20190213,1915.0,20.62151712680358,0
20190214,1943.0,20.580574353513008,0
20190215,1959.0,21.906480209057182,0
20190216,2426.0,19.895142210204714,2
20190217,2673.0,18.63500955698457,2
20190218,1762.0,21.0855307908689,0
20190219,1891.0,22.313876823175267,0
20190220,1838.0,23.39750366421117,0
20190221,1813.0,22.338087506727092,0
20190222,1870.0,19.26952535703347,0
20190223,1729.0,16.705771419968656,0
20190224,1770.0,16.927243512016318,2
20190225,1754.0,18.660774925349962,0
20190226,1818.0,19.427541098618143,0
20190227,1903.0,21.251239200496194,0
20190228,2430.0,20.744438927630192,2
20190301,2371.0,20.60144405394134,2
20190302,1833.0,22.224677050060947,2
20190303,2224.0,20.246686932615845,2
20190304,1895.0,19.80506414501698,0
20190305,1954.0,20.976409383297625,0
20190306,1922.0,19.45621068033815,0
20190307,1868.0,15.137812211927738,0
20190308,1816.0,16.094615735552846,0
20190309,2191.0,19.032627393294142,2
20190310,1823.0,18.64084319252726,2
20190311,1794.0,17.928218925153185,0
20190312,1879.0,20.730411376766934,0
20190313,1923.0,21.44532512411596,0
20190314,1780.0,21.066469896858234,0
20190315,1928.0,18.467958318099264,0
20190316,2518.0,20.39198057504569,2
20190317,2290.0,20.980563328124706,2
20190318,1755.0,21.88814031611222,0
20190319,1805.0,22.632912638135632,0
20190320,1844.0,24.712887201872636,0
20190321,1967.0,25.851658066369378,0
20190322,2341.0,22.50119441912643,0
20190323,2084.0,17.54172789341663,2
20190324,1859.0,17.66897316059566,2
20190325,1853.0,19.8055765227458,0
20190326,1887.0,21.258540720640145,0
20190327,1933.0,23.404019891184852,0
20190328,1892.0,25.56085129964855,0
20190329,2055.0,24.081195174340806,0
20190330,2155.0,22.420011104494225,2
20190331,2297.0,21.334408364314427,2
20190401,193.0,18.2851515953811,0
20190402,191.5,20.9240304703663,0
20190403,190.5,21.62178541331239,0
20190404,234.0,23.340232865594828,2
20190405,187.2,22.527816251274036,2
20190406,168.3,23.542747908698907,2
20190407,177.8,25.109283840464112,2
20190408,196.9,25.982586122249803,0
20190409,196.4,26.825013182260793,0
20190410,215.4,25.837684820487638,0
20190411,207.9,23.16682094794113,0
20190412,201.8,21.41309617129795,0
20190413,176.0,22.77029890173783,2
20190414,252.8,23.87639515659141,2
20190415,198.6,21.77805209817342,0
20190416,187.7,20.693044228369907,0
20190417,205.0,23.313307173992737,0
20190418,200.3,25.326615528394207,0
20190419,192.0,24.296591245347276,0
20190420,187.7,25.417244467467565,2
20190421,229.8,25.264562634464625,2
20190422,199.3,26.923513241219425,0
20190423,202.6,28.21369924273381,0
20190424,200.3,28.097445737661516,0
20190425,229.0,28.442439580995693,0
20190426,225.2,27.17369166216134,0
20190427,199.3,25.386716539244325,2
20190428,174.0,26.078734819387577,2
20190429,221.1,27.504552706671024,0
20190430,221.0,27.75015464590334,0
20190501,3093.0,22.702319750351588,0
20190502,2683.0,21.23869081918882,0
20190503,3316.0,22.688405654689287,0
20190504,3119.0,23.748401720405546,2
20190505,2255.0,24.73612204585721,2
20190506,2404.0,21.61021067761888,0
20190507,2609.0,20.300144714401654,0
20190508,2140.0,22.303499534881883,0
20190509,2212.0,22.878069068866406,0
20190510,2608.0,23.92936300695465,0
20190511,2837.0,25.245806594912647,2
20190512,2709.0,27.040358236125748,2
20190513,2311.0,28.147830186277147,0
20190514,2131.0,27.7592108590681,0
20190515,2253.0,27.87791840916007,0
20190516,2432.0,28.575540787880183,0
20190517,2546.0,27.16028681707175,0
20190518,2591.0,28.29459258470947,2
20190519,2127.0,29.27636685150261,2
20190520,3347.0,25.23641742614535,0
20190521,3887.0,24.199165463391385,0
20190522,4554.0,24.596531427671597,0
20190523,4712.0,24.50151971752263,0
20190524,3575.0,27.04416740272258,0
20190525,3984.0,27.615998258680822,2
20190526,3789.0,27.961951601264605,2
20190527,2706.0,27.391893737752486,0
