"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.2","1007.4","1007.8","2021-06-01 22:00","1005.1","2021-06-01 03:20","26.4","32.2","2021-06-01 12:05","23.1","2021-06-01 04:32","23.6","86","52","2021-06-01 10:47","0.8","70","4.9","200","2021-06-01 17:19","22.5","3.0","8.5","2021-06-01 17:23","17.0","2021-06-01 17:19","2.3","17.0","11.23","19.3","-2.9","...","...","8.4"
"02","1006.6","1007.8","1008.3","2021-06-02 22:09","1004.8","2021-06-02 14:11","27.9","34.7","2021-06-02 11:18","24.1","2021-06-02 04:50","24.0","82","48","2021-06-02 13:38","0.9","200","6.3","70","2021-06-02 15:22","3.5","2.3","1.5","2021-06-02 17:04","2.0","2021-06-02 17:01","5.5","40.6","13.69","21.3","-3.0","...","...","7.4"
"03","1004.7","1005.9","1007.5","2021-06-03 00:01","1002.1","2021-06-03 15:42","30.0","35.9","2021-06-03 14:22","25.3","2021-06-03 04:44","24.0","73","42","2021-06-03 13:32","1.3","210","8.0","290","2021-06-03 15:05","0.0","0.0","0.0","...","0.0","...","7.2","53.1","19.52","20.6","4.5","...","...","8.5"
"04","1003.0","1004.2","1004.0","2021-06-04 00:01","1001.8","2021-06-04 12:53","27.8","33.8","2021-06-04 10:21","24.7","2021-06-04 15:04","24.5","84","52","2021-06-04 09:31","1.0","60","7.7","290","2021-06-04 12:47","157.5","7.5","17.5","2021-06-04 15:22","84.5","2021-06-04 14:30","4.1","30.2","9.52","14.3","-1.2","...","...","9.3"
"05","1002.6","1003.8","1005.2","2021-06-05 22:17","1001.0","2021-06-05 15:30","25.0","26.9","2021-06-05 09:14","22.2","2021-06-05 21:09","24.0","94","88","2021-06-05 14:00","1.4","70","9.2","50","2021-06-05 18:31","23.5","11.8","2.5","2021-06-05 20:27","6.5","2021-06-05 16:45","0.0","0.0","2.07","10.4","-1.7","...","...","9.9"
"06","1005.2","1006.4","1008.5","2021-06-06 22:06","1002.8","2021-06-06 03:44","24.1","25.4","2021-06-06 10:32","22.4","2021-06-06 00:01","22.7","92","83","2021-06-06 12:47","1.8","70","8.4","80","2021-06-06 07:31","9.0","10.5","3.0","2021-06-06 15:20","5.5","2021-06-06 14:53","0.0","0.0","4.28","15.6","-0.6","...","...","9.6"
"07","1008.5","1009.7","1010.1","2021-06-07 22:25","1006.9","2021-06-07 02:23","26.5","31.8","2021-06-07 12:29","23.4","2021-06-07 03:32","23.3","84","56","2021-06-07 12:19","1.4","70","7.0","80","2021-06-07 13:52","1.0","2.3","0.5","2021-06-07 16:20","1.0","2021-06-07 16:08","3.6","26.5","12.15","25.3","-1.3","...","...","7.5"
"08","1008.8","1010.0","1010.5","2021-06-08 07:42","1006.5","2021-06-08 15:34","28.5","35.0","2021-06-08 14:38","23.8","2021-06-08 04:43","23.2","75","43","2021-06-08 13:36","1.1","60","8.5","200","2021-06-08 16:26","0.0","0.0","0.0","...","0.0","...","7.3","53.7","19.30","22.3","4.2","...","...","5.8"
"09","1007.4","1008.6","1009.2","2021-06-09 00:01","1005.3","2021-06-09 17:42","28.5","33.2","2021-06-09 13:48","24.7","2021-06-09 04:42","23.3","74","52","2021-06-09 13:56","1.3","70","7.6","40","2021-06-09 13:34","T","0.2","T","2021-06-09 11:35","T","2021-06-09 11:35","3.9","28.7","13.10","23.1","-3.6","...","...","5.6"
